issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	triggers cause	trigger production	notes
https://github.com/docker/docker/issues/29717	https://github.com/moby/moby/pull/29824	URBCIBE	CILB	High	CNTOC	AM,CLS,CBS	FEC	linux/ubuntu16.04	AE	CLICCC	
https://github.com/moby/moby/issues/28892	https://github.com/moby/moby/pull/28903	CEC	MCDP	Low	CNTOC	CDDI,CBS	EEF	linux,windows	LE	SITMCE	
https://github.com/moby/moby/issues/30367	https://github.com/moby/moby/pull/30367/commits/a25e094aeb1db64ed27b1dc21c1d64113bca73ad	URBTM	TMOFTMF	Low	TCF	CSS	FEC		CE	SITMRP	
https://github.com/moby/moby/issues/32344	https://github.com/moby/moby/pull/29732	URBCIBE	MCDP	Medium	CNTOC	CDDI,AM,CM	FEC	linux/aws/ec2	CE	ENVS	
https://github.com/moby/moby/issues/30277	https://github.com/moby/moby/pull/30776	CEC	CMOEP	High	TCF	CBS,CRS	FEC	linux,macos	LE	SITMCE,TC	
https://github.com/moby/moby/issues/31265	https://github.com/moby/moby/pull/31265/commits/68506bd23998cb229e05f70e3e923f64c43b2526	URBCIBE	CILB	High	TCF	CLS,CBS	FEC		LE,AE	CLICCC	
https://github.com/moby/moby/issues/32159	https://github.com/moby/moby/pull/32285	URBCDNP	MCDV	Medium	TCF	CAS	FCC	linux	PE	SICRP,TC	
https://github.com/moby/moby/issues/32937	https://github.com/moby/moby/pull/32937/commits/cfcf2a0cec8d83c1584020ccaab0c94f5bb6d7d4	URBCDNP	CMOEP	High	TCF	RM,CDEP	FEC		CE	FDEPU	
https://github.com/moby/moby/issues/31625	https://github.com/moby/moby/pull/33006	URBCIBE	EHRB	Medium	TCF	CBS	FEC	linux	LE	CLICCC	
https://github.com/moby/moby/issues/27588	https://github.com/moby/moby/pull/31954	CERE	EHRB	Medium	CNTOC	CBS	FEC	windows	PE	OSSE,SIIMI	
https://github.com/moby/moby/issues/33263	https://github.com/moby/moby/pull/33264	URBCDNP	CMOEP	Low	TCF	CAS	FEC	linux	PE	SICRP	
https://github.com/moby/moby/pull/33662#issuecomment-309906603	https://github.com/moby/moby/pull/33662	URBTM	CMOEP	Medium	TCF	CSS	FEC	windows	CE	OSSE	
https://github.com/moby/moby/pull/33887#issue-239680208	https://github.com/moby/moby/pull/33887/commits/ff2ed1853099a210245814b4263ce1c92b14c153	UDBE	MCDV	Medium	TCF	CBS	FEC		LE	ENVS	
https://github.com/moby/moby/pull/34157#issue-243659726	https://github.com/moby/moby/pull/34157	URBCDNP	CMOEP	High	SH	CAS	CCONF		CE	SITMCE	
https://github.com/moby/moby/issues/34192	https://github.com/moby/moby/pull/34157/commits/e3f920d2f147025634e12abd5af3a84f436ddad1	URBCIBE	CILB	High	TCF	CBS	FEC		AE	CLICCC	
https://github.com/moby/moby/pull/34761#issue-255772206	https://github.com/moby/moby/pull/34761/commits/58b96aced87b33c4175fa5d3422289f763ab599d	MR	EHRB	High	CNTOC	CDEP,CBS,CRS	FEC	windows	AE	ENVS,TC	
https://github.com/moby/moby/pull/34782#issue-256262791	https://github.com/moby/moby/pull/34784	MR	EHRB	Medium	PD	CRS	FEC	windows	PE	CLICDMO	
https://github.com/moby/moby/pull/34881#issue-258386251	https://github.com/moby/moby/pull/34881/commits/12e947efdba5481020f6543514ade83d87c69a28	URBTM	MCDP	High	TCF	CBS	EEF		LE	SICRP	
https://github.com/moby/moby/pull/32465#issue-220559003	https://github.com/moby/moby/pull/35484	UDBE	MCDP	High	LOGRF	CAS,AM,CM,CBS	FEC		AE	SIIMI,TC	
https://github.com/moby/moby/issues/34702	https://github.com/moby/moby/pull/35526	URBCIBE	MCDP	High	TCF	CBS,CDEP	DDM	linux	LE	ENVS,TC	
