issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://github.com/moby/moby/pull/36140#pullrequestreview-94010696	https://github.com/moby/moby/pull/36270	URBCDNP	MCDP	Medium	TCF	CBS,CRS	FCC		LE	ENVS	
https://github.com/moby/moby/issues/2161	https://github.com/moby/moby/pull/2161/commits/bcc2f4994de7e1d39bcd6f74e4ad41f8753b0032	MR	EHRB	Low	LOGRF	CSS	DDM		CE	SITMCE	
https://github.com/moby/moby/commit/c0bc14e8dd5a31f5edc804e9a1347bb3eb44483e	https://github.com/moby/moby/pull/37409	CEC	CMOEP	High	TCF	CDDI	FEC		PE	FDEPU,TC	
https://github.com/moby/moby/pull/37609#issue-348771803	https://github.com/moby/moby/pull/37609	MR	EHRB	Low	LOGRF	CAS	DDM		PE	CLICDMO,SICMI	
https://github.com/moby/moby/pull/37865#issue-360825307	https://github.com/moby/moby/pull/37865/commits/8e9e31e3598cf1f7a596d9d45a4c1af605d07ad3	URBCIBE	CILB	High	CNTOC	CBS	FPC		LE	CLICCC	
https://github.com/moby/moby/pull/38378#issue-391422558	https://github.com/moby/moby/pull/38378/files	URBCIBE	MCDP	High	CNTOC	CDEP	CDEP		CE	CLICCC	
https://gitlab.com/gitlab-org/gitlab-runner/-/issues/2609	https://github.com/moby/moby/pull/35159/commits/4bbd2e797413f3c22270af4028cf88cfc80dad06	MR	EHRB	High	CNTOC	CDDI	FPC	windows	CE	TC,SITMRP	
https://github.com/moby/moby/pull/35894#issue-285014595	https://github.com/moby/moby/pull/35894/commits/a7020454ca23fb7b03d5ec92e4a87c5ecd6a5cf3	MR	EHRB	Medium	LOGRF	AM	FEC		PE	TC	
https://github.com/moby/moby/pull/38490#issue-395774938	https://github.com/moby/moby/pull/38490/commits/2ca6896aeef24ee6d86072d4e9e72b819f718d0a	MR	EHRB	Medium	LOGRF	CAS	DDM	linux	PE	TC	
https://github.com/moby/moby/issues/37547	https://github.com/moby/moby/pull/38474/files	MR	EHRB	Medium	LOGRF	CM,CBS,CRS	FCC		PE	TC	
https://github.com/moby/moby/pull/38459#issue-394944622	https://github.com/moby/moby/pull/38459/commits/89e3a4af626a3d97c59249ba9c4fa440aedbafba	MR	EHRB	Low	LOGRF	CAS	CCONF		PE	TC	
https://github.com/moby/moby/issues/38199	https://github.com/moby/moby/pull/38574	MR	EHRB	Low	LOGRF	CAS	DDM	windows	PE	OSSE	
https://github.com/docker/for-linux/issues/484	https://github.com/moby/moby/pull/38634	CEC	CMOEP	High	TCF	CAS	FEC	linux	LE	TC	
https://github.com/moby/moby/issues/34996	https://github.com/moby/moby/pull/35326	UDBE	MCDP	High	TCF	CSS	FCC	linux/centos7	CE	SIIMI,CLICDMO	
https://github.com/moby/moby/pull/39038#issue-430950262	https://github.com/moby/moby/pull/39038/commits/4a9836a20b35968eb931dd53a6e00b81990d8b3f	UDBE	CMOPI	Low	LOGRF	CAS,CBS	DDM		LE	SITMCE	
https://github.com/docker/cli/issues/706#issuecomment-371157691	https://github.com/moby/moby/pull/39249	URBTM	CMOEP	High	CNTOC	CBS,CRS	FCC	linux/centos7.4	LE	CLICDMO	
https://github.com/moby/moby/pull/26398	https://github.com/moby/moby/pull/28601	PI	MCDP	High	TCF	CSS	CSS		CE	SITMCE	
https://github.com/moby/moby/issues/6447	https://github.com/moby/moby/pull/8004	CCP	CMOEP	High	LOGRF	CBS,CRS	FPC		LE	TC	
https://github.com/docker/docker-ce-packaging/pull/415#issuecomment-574410473	https://github.com/moby/moby/pull/40393/commits/572cb55c0e8d0ac144d14b0ac92e4a9f9e5eb9f0	CCP	CMOEP	High	TCF	CDEP	CDEP	linux	CE	SICRP	
https://github.com/moby/moby/pull/39798#issue-485281873	https://github.com/moby/moby/pull/39798/files	UDBE	MCDP	High	TCF	CSS	CDEP		CE	SITMCE	
