issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://tickets.puppetlabs.com/browse/PUP-3621	https://github.com/puppetlabs/puppet/pull/3300	URB	CMOEP	Medium	TCIA	AM	FEC	FALSE	PE	TC	misimplementation after refactor	
https://tickets.puppetlabs.com/browse/PUP-10500	https://github.com/puppetlabs/puppet/pull/8149	CEC	CMOEP	High	TCF	AC	EEF	FALSE	PE	SITMCE
https://tickets.puppetlabs.com/browse/PUP-1585	https://github.com/puppetlabs/puppet/pull/2342	URB	TMO	Medium	TCIA	CM	FEC	FALSE	PE	SIIMI
https://tickets.puppetlabs.com/browse/PUP-11472	https://github.com/puppetlabs/puppet/pull/8888	MR	EHRB	Low	LOGRF	CM	FEC	FALSE	LE	SIIMI		
https://tickets.puppetlabs.com/browse/PUP-4822	https://github.com/puppetlabs/puppet/pull/4135	C	CMO	Medium	TCF	CM	FEC	TRUE	LE	OSSE	macos	
https://tickets.puppetlabs.com/browse/PUP-9400	https://github.com/puppetlabs/puppet/pull/7326	CCP	CMOPI	Low	TCFC	AM	EPF	FALSE	LE	SITMRP		
https://tickets.puppetlabs.com/browse/PUP-6660	https://github.com/puppetlabs/puppet/pull/5853	PI	CMOPI	High	PD	CM	FPC	FALSE	PE	CLIC		
https://tickets.puppetlabs.com/browse/PUP-5026	https://github.com/puppetlabs/puppet/pull/4254	MR	EHRB	Low	LOGRF	CM	DDM	FALSE	LE	TC		
https://tickets.puppetlabs.com/browse/PUP-2699	https://github.com/puppetlabs/puppet/pull/3498	URB	TMOFS	Medium	TCF	CM	FEC	TRUE	LE	SITMCE	windows	
https://tickets.puppetlabs.com/browse/PUP-3935	https://github.com/puppetlabs/puppet/pull/3547	CEC	MCDV	Medium	TCF	CDDI	CCONF	FALSE	CE	SITMCE		
https://tickets.puppetlabs.com/browse/PUP-1498	https://github.com/puppetlabs/puppet/pull/5042	URB	TMO	Medium	TCIN	CM	FEC	TRUE	PE	OSSE	windows	
https://tickets.puppetlabs.com/browse/PUP-10951	https://github.com/puppetlabs/puppet/pull/8535	URBCDNP	CMOPI	Medium	TCF	CM	FPC	FALSE	LE	SITMCE		
https://tickets.puppetlabs.com/browse/PUP-9499	https://github.com/puppetlabs/puppet/pull/7426	URB	TMO	Medium	SH	AM	EEF	FALSE	PE	TC	imminent security or wrong behavior issue with duplicate implementations	
https://tickets.puppetlabs.com/browse/PUP-1510	https://github.com/puppetlabs/puppet/pull/2354	URB	TMO	Medium	TCF	CM	FEC	FALSE	PE	SITMCE		
https://tickets.puppetlabs.com/browse/PUP-1295	https://github.com/puppetlabs/puppet/pull/3921	URB	TMO	Medium	TCIA	CM	FEC	FALSE	PE	SITMCE		
https://tickets.puppetlabs.com/browse/PUP-7611	https://github.com/puppetlabs/puppet/pull/5959	URB	EHRB	Low	LOGRF	CM	DDM	FALSE	PE	SIIMI		
https://tickets.puppetlabs.com/browse/PUP-7590	https://github.com/puppetlabs/puppet/pull/5909	MR	EHRB	Medium	LOGRF	CBS	FPC	FALSE	LE	SI		
https://tickets.puppetlabs.com/browse/PUP-11204	https://github.com/puppetlabs/puppet/pull/8784	URBCDNP	TMOPI	Medium	TCF	CM	FPC	FALSE	PE	CLIC		
https://tickets.puppetlabs.com/browse/PUP-2100	https://github.com/puppetlabs/puppet/pull/2490	URBTM	TMO	Medium	TCIN	CM	FEC	TRUE	LE	SITMCE	windows	
https://tickets.puppetlabs.com/browse/PUP-5382	https://github.com/puppetlabs/puppet/pull/4343	MR	CMOPI	Low	CUX	CM	FPC	FALSE	LE	SI		
