issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://tickets.puppetlabs.com/browse/PUP-9339	https://github.com/puppetlabs/puppet/pull/7270	MR	EHRB	Low	LOGRF	AM	EEF	FALSE	PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-6113	https://github.com/puppetlabs/puppet/pull/4848	URB	TMO	Medium	TCF	CRS	FEC	TRUE	LE	OSSE	solaris
https://tickets.puppetlabs.com/browse/PUP-5391	https://github.com/puppetlabs/puppet/pull/4368	URB	TMO	Medium	TCF	CM	FEC	TRUE	LE	OSSE	aix
https://tickets.puppetlabs.com/browse/PUP-10359	https://github.com/puppetlabs/puppet/pull/8024	URB	TMO	Medium	TCF	CM	FCC	FALSE	LE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-5723	https://github.com/puppetlabs/puppet/pull/5130	MR	EHRB	Low	LOGRF	CM	DDM	FALSE	LE	SI	
https://tickets.puppetlabs.com/browse/PUP-4057	https://github.com/puppetlabs/puppet/pull/3662	URBCDNP	MC	Low	TCF	CDDI	CCONF	FALSE	CE	SI	
https://tickets.puppetlabs.com/browse/PUP-3222	https://github.com/puppetlabs/puppet/pull/3063	UDBE	EHRB	Medium	LOGRF	CRS	FEC	TRUE	CE	CLICDMO	windows
https://tickets.puppetlabs.com/browse/PUP-10319	https://github.com/puppetlabs/puppet/pull/8009	URBTM	TMO	Medium	TCIN	AM	EEF	FALSE	PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-6508	https://github.com/puppetlabs/puppet/pull/5121	URBCDNP	MCDV	Medium	TCF	CDDI	CCONF	FALSE	CE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-2553	https://github.com/puppetlabs/puppet/pull/2643	URBCDNP	TMOPI	Medium	TCIA	CM	FPC	TRUE	CE	OSSE	redhat
https://tickets.puppetlabs.com/browse/PUP-10380	https://github.com/puppetlabs/puppet/pull/8053	URBCDNP	TMOPI	Medium	TCIA	AM	EPF	FALSE	CE	SITMRP	
https://tickets.puppetlabs.com/browse/PUP-7328	https://github.com/puppetlabs/puppet/pull/5752	URBCDNP	CMOPI	Medium	TCIA	CM	FPC	FALSE	PE	ENVS	
https://tickets.puppetlabs.com/browse/PUP-3081	https://github.com/puppetlabs/puppet/pull/3121	MR	MCDV	Low	CUX	CDDI	CCONF	FALSE	CE	CLIC	
https://tickets.puppetlabs.com/browse/PUP-4633	https://github.com/puppetlabs/puppet/pull/3977	URB	TMO	Medium	TCF	CBS	FEC	FALSE	LE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-292	https://github.com/puppetlabs/puppet/pull/3623	URBCDNP	TMOPI	Medium	TCF	AC	EPF	FALSE	PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-4081	https://github.com/puppetlabs/puppet/pull/3701	URB	TMOFTMF	Medium	TCF	CM	FEC	FALSE	LE	SIIMI	
https://tickets.puppetlabs.com/browse/PUP-7992	https://github.com/puppetlabs/puppet/pull/6234	URBCDNP	TMOPI	High	TCF	CAS	FPC	FALSE	LE	SI	
https://tickets.puppetlabs.com/browse/PUP-7814	https://github.com/puppetlabs/puppet/pull/8170	URB	TMO	Medium	TCF	CM	FEC	FALSE	PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-1537	https://github.com/puppetlabs/puppet/pull/7815	URB	TMOITE	Medium	TCIA	CM	FEC	FALSE	PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-1299	https://github.com/puppetlabs/puppet/pull/2791	URBCDNP	CMOPI	Low	TCIA	CBS	FPC	FALSE	CE	SITMCE	
