issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://tickets.puppetlabs.com/browse/PUP-9339	7270	MR	EHRB	Medium	LOGRF	CAS,AM,CBS	EEF		AE	TC	
https://tickets.puppetlabs.com/browse/PUP-6113	4848	CERE	CMOEP	High	TCFC	CRS,CBS	FEC	linux/solaris	LE	SITMCE,OSSE	
https://tickets.puppetlabs.com/browse/PUP-5391	4368	UDBE	CMOEP	Medium	TCFC	CDDI	FEC		LE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-10359	8024	CCP	CMOPI	Medium	TCIN	CSS	FCC		CE	CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-5723	5130	MR	EHRB	Low	LOGRF	CAS,CBS	DDM		LE	TC	
https://tickets.puppetlabs.com/browse/PUP-4057	3662	URBCDNP	MCDP	Medium	TCFC	CSS	CCONF		CE	TC	
https://tickets.puppetlabs.com/browse/PUP-3222	3063	CERE	MCDP	Medium	TCFC	CDDI	FEC	windows	CE	TC,OSSE	
https://tickets.puppetlabs.com/browse/PUP-10319	8009	UDBE	CMOEP	Medium	TCFC	AM	EEF		AE	CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-6508	5121	CCP	CMOPI	Medium	TCIA	CDDI	CCONF		CE	SICRP,TC	
https://tickets.puppetlabs.com/browse/PUP-2553	2643	CERE	CMOEP	Medium	TCIA	CDDI	FPC	linux/redhat	CE	OSSE,TC	
https://tickets.puppetlabs.com/browse/PUP-10380	8053	UDBE	CMOEP	High	TCFC	AM,CAS	EPF		AE	CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-7328	5752	MR	EHRB	Medium	LOGRF	CAS,CBS	FPC		LE	CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-3081	3121	MR	EHRB	Medium	LOGRF,CUX	CAS	CCONF		PE	TC	
https://tickets.puppetlabs.com/browse/PUP-4633	3977	URBCDNP	MCDP	Medium	TCIN	CBS	FEC		LE	CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-292	3623	URBCDNP	CMOPI	Medium	TCIA	CDDI,CAS,CBS	EPF		AE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-4081	3701	URBCDNP	CMOEP	Medium	TCFC	CSS	FEC		CE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-7992	6234	MR	EHRB	High	LOGRF	CSS	FPC		CE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-7814	8170	URBCDNP	CMOPI	High	TCFC	CDDI,CM,CBS	FEC		AE	TC	
https://tickets.puppetlabs.com/browse/PUP-1537	7815	UDBE	CMOEP	High	TCFC	CSS	FEC		CE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-1299	2791	CCP	CMOPI	Medium	TCIA	CBS	FPC		LE	TC	
